Index,Vertices,Partial Domination Fraction,Smallest Set Size,Occurrences,Example Set,Max Minimal Set Size,Gamma - Gamma,Edges,Max Degree,Number of Leaves,Is Unique,Excel Row
94,8,1/3,1,1,"(0,)",2,1,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]",7,7,True,96
95,8,2/3,1,1,"(0,)",5,4,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7)]",7,7,True,97
96,9,1/3,1,7,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8)]",2,2,False,98
97,9,2/3,2,10,"(0, 3)",3,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (7, 8)]",2,2,False,99
98,9,1/3,1,6,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8)]",3,3,False,100
99,9,2/3,2,8,"(0, 3)",3,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7), (6, 8)]",3,3,False,101
100,9,1/3,1,6,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 8), (6, 7)]",3,3,False,102
101,9,2/3,2,8,"(0, 3)",3,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (3, 4), (5, 6), (5, 8), (6, 7)]",3,3,False,103
102,9,1/3,1,6,"(0,)",2,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7)]",3,3,False,104
103,9,2/3,2,10,"(0, 2)",3,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (2, 3), (3, 4), (5, 6), (6, 7)]",3,3,False,105
104,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 6), (1, 2), (2, 3), (2, 4), (2, 5), (6, 7), (7, 8)]",4,4,False,106
105,9,2/3,2,6,"(0, 2)",4,2,"[(0, 1), (0, 6), (1, 2), (2, 3), (2, 4), (2, 5), (6, 7), (7, 8)]",4,4,False,107
106,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (2, 4), (6, 7), (7, 8)]",3,4,False,108
107,9,2/3,2,8,"(0, 2)",3,1,"[(0, 1), (0, 6), (1, 2), (1, 5), (2, 3), (2, 4), (6, 7), (7, 8)]",3,4,False,109
108,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (6, 7), (6, 8)]",3,4,False,110
109,9,2/3,2,9,"(0, 2)",4,2,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (6, 7), (6, 8)]",3,4,False,111
110,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (2, 3), (2, 4), (5, 6), (5, 8), (6, 7)]",3,4,False,112
