Index,Vertices,Partial Domination Fraction,Smallest Set Size,Occurrences,Example Set,Max Minimal Set Size,Gamma - Gamma,Edges,Max Degree,Number of Leaves,Is Unique,Excel Row
4642,14,1/3,1,1,"(8,)",3,2,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (8, 9), (8, 12), (8, 13), (9, 10), (10, 11)]",4,4,True,4644
4643,14,2/3,3,22,"(0, 3, 8)",6,3,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (8, 9), (8, 12), (8, 13), (9, 10), (10, 11)]",4,4,False,4645
4644,14,1/3,2,71,"(0, 2)",3,1,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (7, 13), (8, 9), (8, 12), (9, 10), (10, 11)]",3,4,False,4646
4645,14,2/3,3,8,"(1, 4, 8)",5,2,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (7, 13), (8, 9), (8, 12), (9, 10), (10, 11)]",3,4,False,4647
4646,14,1/3,2,70,"(0, 1)",3,1,"[(0, 1), (0, 7), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (8, 9), (8, 12), (9, 10), (10, 11)]",3,4,False,4648
4647,14,2/3,3,12,"(0, 3, 8)",6,3,"[(0, 1), (0, 7), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (8, 9), (8, 12), (9, 10), (10, 11)]",3,4,False,4649
4648,14,1/3,2,76,"(0, 2)",3,1,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (7, 12), (8, 9), (9, 10), (10, 11), (12, 13)]",3,3,False,4650
4649,14,2/3,3,5,"(2, 5, 7)",5,2,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (7, 12), (8, 9), (9, 10), (10, 11), (12, 13)]",3,3,False,4651
4650,14,1/3,1,1,"(7,)",3,2,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (7, 12), (7, 13), (8, 9), (9, 10), (10, 11)]",4,4,True,4652
4651,14,2/3,3,21,"(1, 4, 7)",6,3,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (7, 12), (7, 13), (8, 9), (9, 10), (10, 11)]",4,4,False,4653
4652,14,1/3,2,71,"(0, 1)",3,1,"[(0, 1), (0, 7), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (7, 12), (8, 9), (9, 10), (10, 11)]",3,4,False,4654
4653,14,2/3,3,11,"(0, 3, 9)",5,2,"[(0, 1), (0, 7), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (7, 12), (8, 9), (9, 10), (10, 11)]",3,4,False,4655
4654,14,1/3,2,76,"(0, 1)",3,1,"[(0, 1), (0, 7), (0, 12), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (8, 9), (9, 10), (10, 11), (12, 13)]",3,3,False,4656
4655,14,2/3,3,6,"(0, 3, 9)",5,2,"[(0, 1), (0, 7), (0, 12), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (8, 9), (9, 10), (10, 11), (12, 13)]",3,3,False,4657
4656,14,1/3,1,1,"(0,)",3,2,"[(0, 1), (0, 7), (0, 12), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (8, 9), (9, 10), (10, 11)]",4,4,True,4658
4657,14,2/3,3,19,"(0, 2, 5)",6,3,"[(0, 1), (0, 7), (0, 12), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (7, 8), (8, 9), (9, 10), (10, 11)]",4,4,False,4659
4658,14,1/3,1,1,"(4,)",4,3,"[(0, 1), (0, 9), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (4, 8), (9, 10), (10, 11), (11, 12), (12, 13)]",5,5,True,4660
4659,14,2/3,3,31,"(0, 1, 4)",6,3,"[(0, 1), (0, 9), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (4, 8), (9, 10), (10, 11), (11, 12), (12, 13)]",5,5,False,4661
4660,14,1/3,1,1,"(4,)",3,2,"[(0, 1), (0, 9), (1, 2), (2, 3), (3, 4), (3, 8), (4, 5), (4, 6), (4, 7), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,True,4662
4661,14,2/3,3,26,"(0, 3, 4)",6,3,"[(0, 1), (0, 9), (1, 2), (2, 3), (3, 4), (3, 8), (4, 5), (4, 6), (4, 7), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,False,4663
4662,14,1/3,1,1,"(4,)",3,2,"[(0, 1), (0, 9), (1, 2), (2, 3), (2, 8), (3, 4), (4, 5), (4, 6), (4, 7), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,True,4664
4663,14,2/3,3,26,"(0, 2, 4)",6,3,"[(0, 1), (0, 9), (1, 2), (2, 3), (2, 8), (3, 4), (4, 5), (4, 6), (4, 7), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,False,4665
4664,14,1/3,1,1,"(4,)",3,2,"[(0, 1), (0, 9), (1, 2), (1, 8), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,True,4666
4665,14,2/3,3,23,"(0, 1, 4)",6,3,"[(0, 1), (0, 9), (1, 2), (1, 8), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,False,4667
4666,14,1/3,1,1,"(4,)",3,2,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]",4,5,True,4668
4667,14,2/3,3,27,"(0, 3, 11)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]",4,5,False,4669
4668,14,1/3,1,1,"(4,)",3,2,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (10, 11), (10, 13), (11, 12)]",4,5,True,4670
4669,14,2/3,3,26,"(0, 3, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (10, 11), (10, 13), (11, 12)]",4,5,False,4671
4670,14,1/3,1,1,"(4,)",3,2,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (9, 13), (10, 11), (11, 12)]",4,5,True,4672
4671,14,2/3,3,24,"(0, 4, 9)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (9, 13), (10, 11), (11, 12)]",4,5,False,4673
4672,14,1/3,1,1,"(4,)",3,2,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (8, 13), (9, 10), (10, 11), (11, 12)]",4,5,True,4674
4673,14,2/3,3,26,"(0, 4, 8)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (8, 13), (9, 10), (10, 11), (11, 12)]",4,5,False,4675
4674,14,1/3,1,1,"(4,)",3,2,"[(0, 1), (0, 8), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (10, 11), (11, 12)]",4,5,True,4676
4675,14,2/3,3,27,"(0, 1, 4)",6,3,"[(0, 1), (0, 8), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (10, 11), (11, 12)]",4,5,False,4677
4676,14,1/3,1,2,"(4,)",3,2,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (10, 11), (10, 12), (10, 13)]",4,6,False,4678
4677,14,2/3,2,1,"(4, 10)",7,5,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (4, 7), (8, 9), (9, 10), (10, 11), (10, 12), (10, 13)]",4,6,True,4679
4678,14,1/3,2,74,"(0, 2)",3,1,"[(0, 1), (0, 9), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (7, 8), (9, 10), (10, 11), (11, 12), (12, 13)]",3,4,False,4680
4679,14,2/3,3,9,"(0, 3, 11)",5,2,"[(0, 1), (0, 9), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (7, 8), (9, 10), (10, 11), (11, 12), (12, 13)]",3,4,False,4681
4680,14,1/3,1,1,"(3,)",3,2,"[(0, 1), (0, 9), (1, 2), (2, 3), (3, 4), (3, 7), (3, 8), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,True,4682
4681,14,2/3,3,23,"(0, 3, 4)",6,3,"[(0, 1), (0, 9), (1, 2), (2, 3), (3, 4), (3, 7), (3, 8), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,False,4683
4682,14,1/3,2,69,"(0, 2)",3,1,"[(0, 1), (0, 9), (1, 2), (2, 3), (2, 8), (3, 4), (3, 7), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",3,5,False,4684
4683,14,2/3,3,14,"(0, 3, 11)",5,2,"[(0, 1), (0, 9), (1, 2), (2, 3), (2, 8), (3, 4), (3, 7), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",3,5,False,4685
4684,14,1/3,2,68,"(0, 1)",3,1,"[(0, 1), (0, 9), (1, 2), (1, 8), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",3,5,False,4686
4685,14,2/3,3,14,"(0, 3, 11)",6,3,"[(0, 1), (0, 9), (1, 2), (1, 8), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",3,5,False,4687
4686,14,1/3,2,68,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]",3,5,False,4688
4687,14,2/3,3,15,"(0, 3, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]",3,5,False,4689
4688,14,1/3,2,69,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 13), (11, 12)]",3,5,False,4690
4689,14,2/3,3,14,"(0, 3, 10)",5,2,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 13), (11, 12)]",3,5,False,4691
4690,14,1/3,2,68,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (11, 12)]",3,5,False,4692
4691,14,2/3,3,18,"(0, 3, 9)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (11, 12)]",3,5,False,4693
4692,14,1/3,2,68,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (11, 12)]",3,5,False,4694
4693,14,2/3,3,17,"(0, 3, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (11, 12)]",3,5,False,4695
4694,14,1/3,2,68,"(0, 1)",3,1,"[(0, 1), (0, 8), (0, 13), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12)]",3,5,False,4696
4695,14,2/3,3,14,"(0, 3, 4)",6,3,"[(0, 1), (0, 8), (0, 13), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12)]",3,5,False,4697
4696,14,1/3,1,1,"(10,)",3,2,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 12), (10, 13)]",4,6,True,4698
4697,14,2/3,3,25,"(0, 2, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 12), (10, 13)]",4,6,False,4699
4698,14,1/3,2,65,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (10, 12)]",3,6,False,4700
4699,14,2/3,3,16,"(0, 3, 9)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (3, 4), (3, 7), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (10, 12)]",3,6,False,4701
4700,14,1/3,2,73,"(0, 2)",3,1,"[(0, 1), (0, 9), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (7, 8), (9, 10), (10, 11), (11, 12), (12, 13)]",3,4,False,4702
4701,14,2/3,3,16,"(0, 4, 7)",5,2,"[(0, 1), (0, 9), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (7, 8), (9, 10), (10, 11), (11, 12), (12, 13)]",3,4,False,4703
4702,14,1/3,1,1,"(2,)",3,2,"[(0, 1), (0, 9), (1, 2), (2, 3), (2, 7), (2, 8), (3, 4), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,True,4704
4703,14,2/3,3,27,"(0, 2, 4)",6,3,"[(0, 1), (0, 9), (1, 2), (2, 3), (2, 7), (2, 8), (3, 4), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,False,4705
4704,14,1/3,2,67,"(0, 1)",3,1,"[(0, 1), (0, 9), (1, 2), (1, 8), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",3,5,False,4706
4705,14,2/3,3,13,"(0, 4, 11)",6,3,"[(0, 1), (0, 9), (1, 2), (1, 8), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",3,5,False,4707
4706,14,1/3,2,66,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]",3,5,False,4708
4707,14,2/3,3,19,"(0, 2, 11)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]",3,5,False,4709
4708,14,1/3,2,67,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 13), (11, 12)]",3,5,False,4710
4709,14,2/3,3,18,"(0, 2, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 13), (11, 12)]",3,5,False,4711
4710,14,1/3,2,66,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (11, 12)]",3,5,False,4712
4711,14,2/3,3,19,"(0, 4, 9)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (11, 12)]",3,5,False,4713
4712,14,1/3,2,66,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (11, 12)]",3,5,False,4714
4713,14,2/3,3,20,"(0, 4, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (11, 12)]",3,5,False,4715
4714,14,1/3,2,66,"(0, 1)",3,1,"[(0, 1), (0, 8), (0, 13), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12)]",3,5,False,4716
4715,14,2/3,3,19,"(0, 2, 4)",6,3,"[(0, 1), (0, 8), (0, 13), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12)]",3,5,False,4717
4716,14,1/3,1,1,"(10,)",3,2,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 12), (10, 13)]",4,6,True,4718
4717,14,2/3,3,25,"(0, 2, 10)",7,4,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 12), (10, 13)]",4,6,False,4719
4718,14,1/3,2,63,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (10, 12)]",3,6,False,4720
4719,14,2/3,3,19,"(0, 2, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (10, 12)]",3,6,False,4721
4720,14,1/3,2,61,"(0, 2)",3,1,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (10, 12)]",3,6,False,4722
4721,14,2/3,3,24,"(0, 2, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (2, 3), (2, 7), (3, 4), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (10, 12)]",3,6,False,4723
4722,14,1/3,2,73,"(0, 1)",3,1,"[(0, 1), (0, 9), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (9, 10), (10, 11), (11, 12), (12, 13)]",3,4,False,4724
4723,14,2/3,3,12,"(0, 4, 11)",5,2,"[(0, 1), (0, 9), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (9, 10), (10, 11), (11, 12), (12, 13)]",3,4,False,4725
4724,14,1/3,1,1,"(1,)",3,2,"[(0, 1), (0, 9), (1, 2), (1, 7), (1, 8), (2, 3), (3, 4), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,True,4726
4725,14,2/3,3,21,"(0, 1, 4)",6,3,"[(0, 1), (0, 9), (1, 2), (1, 7), (1, 8), (2, 3), (3, 4), (4, 5), (4, 6), (9, 10), (10, 11), (11, 12), (12, 13)]",4,5,False,4727
4726,14,1/3,2,66,"(0, 1)",3,1,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]",3,5,False,4728
4727,14,2/3,3,20,"(0, 3, 11)",6,3,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12), (11, 13)]",3,5,False,4729
4728,14,1/3,2,67,"(0, 1)",3,1,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 13), (11, 12)]",3,5,False,4730
4729,14,2/3,3,16,"(0, 3, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 13), (11, 12)]",3,5,False,4731
4730,14,1/3,2,66,"(0, 1)",3,1,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (11, 12)]",3,5,False,4732
4731,14,2/3,3,19,"(0, 4, 9)",6,3,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (11, 12)]",3,5,False,4733
4732,14,1/3,2,66,"(0, 1)",3,1,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (11, 12)]",3,5,False,4734
4733,14,2/3,3,16,"(0, 4, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (11, 12)]",3,5,False,4735
4734,14,1/3,2,67,"(0, 1)",3,1,"[(0, 1), (0, 8), (0, 13), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12)]",3,5,False,4736
4735,14,2/3,3,13,"(0, 1, 4)",6,3,"[(0, 1), (0, 8), (0, 13), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (11, 12)]",3,5,False,4737
4736,14,1/3,1,1,"(10,)",3,2,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 12), (10, 13)]",4,6,True,4738
4737,14,2/3,3,28,"(0, 1, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 12), (10, 13)]",4,6,False,4739
4738,14,1/3,2,63,"(0, 1)",3,1,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (10, 12)]",3,6,False,4740
4739,14,2/3,3,22,"(0, 3, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (9, 13), (10, 11), (10, 12)]",3,6,False,4741
4740,14,1/3,2,61,"(0, 1)",3,1,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (10, 12)]",3,6,False,4742
4741,14,2/3,3,23,"(0, 3, 10)",6,3,"[(0, 1), (0, 8), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (8, 13), (9, 10), (10, 11), (10, 12)]",3,6,False,4743
4742,14,1/3,2,62,"(0, 1)",3,1,"[(0, 1), (0, 8), (0, 13), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 12)]",3,6,False,4744
4743,14,2/3,3,22,"(0, 1, 4)",6,3,"[(0, 1), (0, 8), (0, 13), (1, 2), (1, 7), (2, 3), (3, 4), (4, 5), (4, 6), (8, 9), (9, 10), (10, 11), (10, 12)]",3,6,False,4745
4744,14,1/3,2,66,"(0, 1)",3,1,"[(0, 1), (0, 7), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (9, 10), (10, 11), (10, 12)]",3,5,False,4746
4745,14,2/3,3,19,"(0, 2, 10)",6,3,"[(0, 1), (0, 7), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (9, 10), (10, 11), (10, 12)]",3,5,False,4747
4746,14,1/3,2,74,"(0, 2)",3,1,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (9, 10), (9, 12), (10, 11), (12, 13)]",3,4,False,4748
4747,14,2/3,3,12,"(0, 3, 9)",5,2,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (9, 10), (9, 12), (10, 11), (12, 13)]",3,4,False,4749
4748,14,1/3,1,1,"(9,)",3,2,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (9, 10), (9, 12), (9, 13), (10, 11)]",4,5,True,4750
4749,14,2/3,3,23,"(0, 2, 9)",6,3,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (9, 10), (9, 12), (9, 13), (10, 11)]",4,5,False,4751
4750,14,1/3,2,68,"(0, 2)",3,1,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (8, 13), (9, 10), (9, 12), (10, 11)]",3,5,False,4752
4751,14,2/3,3,14,"(0, 3, 9)",6,3,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (8, 13), (9, 10), (9, 12), (10, 11)]",3,5,False,4753
4752,14,1/3,2,67,"(0, 2)",3,1,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (7, 13), (8, 9), (9, 10), (9, 12), (10, 11)]",3,5,False,4754
4753,14,2/3,3,18,"(0, 3, 9)",6,3,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (7, 13), (8, 9), (9, 10), (9, 12), (10, 11)]",3,5,False,4755
4754,14,1/3,2,67,"(0, 1)",3,1,"[(0, 1), (0, 7), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (9, 10), (9, 12), (10, 11)]",3,5,False,4756
4755,14,2/3,3,17,"(0, 2, 9)",6,3,"[(0, 1), (0, 7), (0, 13), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (9, 10), (9, 12), (10, 11)]",3,5,False,4757
4756,14,1/3,2,73,"(0, 2)",3,1,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (8, 12), (9, 10), (10, 11), (12, 13)]",3,4,False,4758
4757,14,2/3,3,13,"(0, 4, 8)",5,2,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (8, 12), (9, 10), (10, 11), (12, 13)]",3,4,False,4759
4758,14,1/3,1,1,"(8,)",3,2,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (8, 12), (8, 13), (9, 10), (10, 11)]",4,5,True,4760
4759,14,2/3,3,25,"(0, 3, 8)",6,3,"[(0, 1), (0, 7), (1, 2), (2, 3), (3, 4), (4, 5), (4, 6), (7, 8), (8, 9), (8, 12), (8, 13), (9, 10), (10, 11)]",4,5,False,4761
